(db@acl)
(db@acs)
(db@activepointdb)
(db@ae_affi_seller)
(db@ae_category)
(db@ae_coupon)
(db@ae_da_pbserver)
(db@ae_da_promotion)
(db@ae_da_realtime)
(db@ae_equity)
(db@ae_eva)
(db@ae_eva_stat)
(db@ae_evalu)
(db@ae_fc)
(db@ae_fc_cg)
(db@ae_fc_payment)
(db@ae_fc_pl_account)
(db@ae_fc_settlement)
(db@ae_ipm)
(db@ae_issue)
(db@ae_issue_center)
(db@ae_issue_seller)
(db@ae_itao)
(db@ae_logis_address)
(db@ae_logis_order)
(db@ae_logis_snap)
(db@ae_logis_track)
(db@ae_logistics_tpl)
(db@ae_ocean)
(db@ae_oss)
(db@ae_oss_minerva)
(db@ae_pg_flux_batch)
(db@ae_pg_flux_core)
(db@ae_pg_fx)
(db@ae_pg_pmnt)
(db@ae_pg_token)
(db@ae_photobank)
(db@ae_pla_coupon)
(db@ae_pp)
(db@ae_pp_cust)
(db@ae_product)
(db@ae_scm_inventory)
(db@ae_sell_coupon)
(db@ae_sell_coupon_other)
(db@ae_seller_promise)
(db@ae_shopcart)
(db@ae_split_message)
(db@ae_tf_sg)
(db@ae_tp)
(db@ae_tp_bops)
(db@ae_tp_other)
(db@ae_tp_seller)
(db@ae_uexpress_other)
(db@ae_uic)
(db@ae_userauth)
(db@aeap)
(db@aegis_tbcp)
(db@aemobiledevice)
(db@affiliate)
(db@affiliate_platform)
(db@ai_platform)
(db@aiplus)
(db@airisland)
(db@ais_appcenter)
(db@aisapi)
(db@ali_category)
(db@ali_inv)
(db@ali_inv_extend)
(db@ali_inv_xcluster)
(db@ali_spu)
(db@ali_video)
(db@aliai_el)
(db@alibao)
(db@alicare)
(db@alicom_billing_bill)
(db@alicom_billing_dr)
(db@alicom_billing_dup)
(db@alicom_billing_mt)
(db@alicom_channel)
(db@alicom_fc_base)
(db@alicom_fc_biz)
(db@alicom_fc_open)
(db@alicom_flow)
(db@alicom_metadata)
(db@alicom_msggt)
(db@alicom_online)
(db@alicom_product)
(db@alicom_res_manag)
(db@alicom_secret)
(db@alicom_thf)
(db@alicom_thf_base)
(db@alicom_user)
(db@alicp_casino)
(db@alidocuic)
(db@alihealth_trade)
(db@alihealth_trades)
(db@alimei)
(db@alimusic_ord)
(db@alimusic_sec)
(db@alimusic_secs)
(db@alimusic_sond)
(db@alimusic_song)
(db@alink_appserver)
(db@alink_smarthome)
(db@alink_usercenter)
(db@alinv)
(db@alipush_main)
(db@alitopo)
(db@alitv)
(db@alive)
(db@aone)
(db@aone_base)
(db@aone_flow_plus)
(db@aone_mix)
(db@aop)
(db@apass)
(db@ascm_dsm_sub)
(db@ascm_item)
(db@ascm_job)
(db@ascm_rcs_flow)
(db@astrolabe)
(db@astrolabe_gateway)
(db@astrolabe_notify)
(db@at_common)
(db@at_logs)
(db@at_policy)
(db@at_prom_inc)
(db@at_promotion)
(db@at_promotion_report)
(db@at_tag)
(db@at_uservice)
(db@atdss)
(db@ateyedb)
(db@ato)
(db@ato_buyer_his)
(db@auc_cmp)
(db@auc_due)
(db@azeroth)
(db@b)
(db@bail_center)
(db@baoming)
(db@bb_auth_center)
(db@bb_creditpay)
(db@bb_factoring)
(db@bb_taskcenter)
(db@bbc_dde)
(db@bbc_product)
(db@bbc_scc)
(db@bbc_trade)
(db@bbc_user)
(db@bbl)
(db@bbshield)
(db@bcp)
(db@beehive)
(db@benefit)
(db@bid)
(db@bing)
(db@bm_barca)
(db@bop_libra)
(db@bp_audit)
(db@brand)
(db@brandku)
(db@btrip_trade)
(db@buc)
(db@buc_rr)
(db@bunting_qrcode)
(db@bus)
(db@busproduct)
(db@buyer)
(db@buyerlog)
(db@buyermodel)
(db@bx_operation)
(db@bx_xsell)
(db@cainiao_ac_data)
(db@cainiao_acc_riskcontrol)
(db@cainiao_accprun)
(db@cainiao_address)
(db@cainiao_aeap_oversea)
(db@cainiao_ai_rs)
(db@cainiao_alg)
(db@cainiao_alibabauedblog)
(db@cainiao_allspark)
(db@cainiao_alphab)
(db@cainiao_alphabet)
(db@cainiao_apandi_order)
(db@cainiao_apandi_order_basic)
(db@cainiao_ark)
(db@cainiao_banshee)
(db@cainiao_bc)
(db@cainiao_bearlake)
(db@cainiao_bearlake_portal)
(db@cainiao_bill)
(db@cainiao_bis)
(db@cainiao_bis_oversea)
(db@cainiao_bis_sg_stg)
(db@cainiao_bms_bill)
(db@cainiao_bms_datax)
(db@cainiao_bms_hk)
(db@cainiao_bms_item)
(db@cainiao_bms_joint)
(db@cainiao_bms_life)
(db@cainiao_bms_rev)
(db@cainiao_bmsbase)
(db@cainiao_bmscore)
(db@cainiao_bmsdip)
(db@cainiao_bmsops)
(db@cainiao_bn_basic)
(db@cainiao_bn_lender)
(db@cainiao_bn_merchant)
(db@cainiao_boson)
(db@cainiao_boss_dt)
(db@cainiao_botman)
(db@cainiao_buyer_pack)
(db@cainiao_capm)
(db@cainiao_cbbms)
(db@cainiao_cbdata)
(db@cainiao_cec)
(db@cainiao_cf_account)
(db@cainiao_cf_acquirer)
(db@cainiao_cf_basic)
(db@cainiao_cf_charge)
(db@cainiao_cf_fund_acquire)
(db@cainiao_cf_payment)
(db@cainiao_cf_saas_acquire)
(db@cainiao_check)
(db@cainiao_ciip_con)
(db@cainiao_classify)
(db@cainiao_cmdp)
(db@cainiao_cms_purchase)
(db@cainiao_cnd)
(db@cainiao_cngtc)
(db@cainiao_cniadmin_oversea)
(db@cainiao_cniwb_basic_data_oversea)
(db@cainiao_cniwb_oversea)
(db@cainiao_cnsku)
(db@cainiao_cnsku_oversea)
(db@cainiao_cnsku_sg_stg)
(db@cainiao_consign_core)
(db@cainiao_cost)
(db@cainiao_cpportal)
(db@cainiao_credits)
(db@cainiao_ct_data)
(db@cainiao_ctp)
(db@cainiao_cubeflow)
(db@cainiao_cuntao)
(db@cainiao_cuntao_basic)
(db@cainiao_customs)
(db@cainiao_data_app)
(db@cainiao_databasic)
(db@cainiao_datahub)
(db@cainiao_dcp)
(db@cainiao_ddport)
(db@cainiao_delibird)
(db@cainiao_delivery)
(db@cainiao_dep)
(db@cainiao_dic)
(db@cainiao_dic_rc)
(db@cainiao_dipan)
(db@cainiao_dms_log)
(db@cainiao_dms_planning)
(db@cainiao_dms_pra)
(db@cainiao_dms_pras)
(db@cainiao_dorado)
(db@cainiao_dorado_info)
(db@cainiao_ecc)
(db@cainiao_exchange)
(db@cainiao_extern_oms)
(db@cainiao_falcon_base)
(db@cainiao_falcon_order)
(db@cainiao_fcs)
(db@cainiao_fdc)
(db@cainiao_fdc_base)
(db@cainiao_fish)
(db@cainiao_fml_g)
(db@cainiao_formula)
(db@cainiao_fortune_cube)
(db@cainiao_fulfil)
(db@cainiao_fulllink_ctp)
(db@cainiao_fulllink_fdp)
(db@cainiao_fuzzy_db)
(db@cainiao_gaea)
(db@cainiao_gaea_m)
(db@cainiao_gin)
(db@cainiao_global_if)
(db@cainiao_global_pickup_basic)
(db@cainiao_globalscm)
(db@cainiao_grc)
(db@cainiao_gsdp)
(db@cainiao_guoguo_device)
(db@cainiao_guoguo_im)
(db@cainiao_history_wp)
(db@cainiao_icrm)
(db@cainiao_infinity)
(db@cainiao_iss)
(db@cainiao_iss_oversea)
(db@cainiao_iwant)
(db@cainiao_kernel)
(db@cainiao_kernel_vip)
(db@cainiao_kiivi)
(db@cainiao_lcp_shvpc)
(db@cainiao_ld_core)
(db@cainiao_ld_monitor)
(db@cainiao_ld_pack)
(db@cainiao_lep)
(db@cainiao_link_basic)
(db@cainiao_link_hk_basic)
(db@cainiao_link_msg)
(db@cainiao_link_msg_shidc)
(db@cainiao_link_shvpc_basic)
(db@cainiao_linkidc_basic)
(db@cainiao_livedata)
(db@cainiao_locker)
(db@cainiao_lockerplatform)
(db@cainiao_logisti)
(db@cainiao_logisti_bigben)
(db@cainiao_lpp)
(db@cainiao_lvs)
(db@cainiao_macbasic)
(db@cainiao_magiccubepro)
(db@cainiao_magneto_basic)
(db@cainiao_market)
(db@cainiao_markets)
(db@cainiao_merchant_service)
(db@cainiao_merchscm)
(db@cainiao_mj)
(db@cainiao_mpabasic)
(db@cainiao_mpasplit)
(db@cainiao_nb_allowance)
(db@cainiao_nb_settlement)
(db@cainiao_nbadd_m)
(db@cainiao_nbantispam)
(db@cainiao_nbe)
(db@cainiao_nbe_meta)
(db@cainiao_nbreward)
